"index";"id";"anonymous";"graduatingYear";"overallScore";"overall";"curriculum";"jobSupport";"school_id";"course_id";"program_time_id";"program_presence_id"
0;293764;0;2022.0;3.3;4.0;3.0;3.0;1;1;1;1
1;293752;1;2022.0;3.7;3.0;4.0;4.0;1;1;1;1
2;293725;1;2022.0;3.3;3.0;4.0;3.0;1;2;2;1
4;293621;0;2022.0;3.3;3.0;3.0;4.0;1;3;2;1
5;293620;1;2022.0;5.0;5.0;5.0;5.0;1;4;2;1
6;293450;0;2022.0;5.0;5.0;5.0;5.0;1;4;1;1
7;293414;1;2022.0;5.0;5.0;5.0;5.0;1;4;1;1
8;293413;0;2022.0;5.0;5.0;5.0;5.0;1;4;1;1
9;293392;0;2022.0;5.0;5.0;5.0;5.0;1;1;1;1
10;293390;0;2022.0;5.0;5.0;5.0;5.0;1;4;1;1
11;293386;1;2022.0;4.7;5.0;4.0;5.0;1;4;1;1
13;293375;0;2022.0;5.0;5.0;5.0;5.0;1;2;1;1
14;293374;0;2022.0;5.0;5.0;5.0;5.0;1;4;1;1
16;293171;0;2022.0;5.0;5.0;5.0;5.0;1;2;1;1
17;292845;1;2022.0;4.7;5.0;5.0;4.0;1;4;1;1
18;292077;0;2022.0;4.7;5.0;5.0;4.0;1;2;2;1
19;292070;0;2022.0;4.0;4.0;4.0;4.0;1;4;2;1
20;291988;1;2022.0;4.3;5.0;4.0;4.0;1;2;2;1
22;291924;0;2022.0;4.7;4.0;5.0;5.0;1;4;1;1
23;291922;0;2022.0;5.0;5.0;5.0;5.0;1;4;1;1
24;291917;1;2022.0;4.7;5.0;5.0;4.0;1;4;1;1
25;291895;0;2022.0;4.3;5.0;4.0;4.0;1;2;2;1
28;290712;1;2022.0;4.0;4.0;4.0;4.0;1;4;2;1
29;290576;0;2022.0;5.0;5.0;5.0;5.0;1;2;2;1
31;290330;0;2022.0;5.0;5.0;5.0;5.0;1;4;1;1
32;290138;0;2022.0;1.0;1.0;1.0;1.0;1;1;1;1
33;290136;1;2022.0;1.0;1.0;1.0;1.0;1;2;1;1
34;290089;1;2022.0;1.0;1.0;1.0;1.0;1;4;1;1
35;290088;1;2022.0;1.3;2.0;1.0;1.0;1;2;1;1
36;290085;1;2022.0;1.0;1.0;1.0;1.0;1;4;1;1
37;290083;0;2021.0;1.0;1.0;1.0;1.0;1;4;1;1
38;289845;0;2022.0;5.0;5.0;5.0;5.0;1;4;2;1
39;289717;0;2022.0;4.0;4.0;4.0;4.0;1;4;1;1
40;289703;1;2022.0;5.0;5.0;5.0;5.0;1;4;1;1
41;289699;0;2022.0;5.0;5.0;5.0;5.0;1;4;1;1
42;289674;0;2022.0;5.0;5.0;5.0;5.0;1;4;1;1
43;289606;1;2022.0;4.7;4.0;5.0;5.0;1;2;1;1
44;289376;0;2022.0;5.0;5.0;5.0;5.0;1;4;1;1
45;289325;1;2022.0;4.3;5.0;4.0;4.0;1;2;2;1
46;288655;0;2022.0;5.0;5.0;5.0;5.0;1;4;2;1
47;288625;0;2022.0;5.0;5.0;5.0;5.0;1;4;2;1
48;288601;0;2022.0;4.0;4.0;4.0;4.0;1;4;2;1
50;288560;0;2022.0;4.0;4.0;4.0;4.0;1;1;1;1
51;287921;0;2022.0;4.3;5.0;4.0;4.0;1;1;2;1
52;287519;1;2022.0;3.7;4.0;4.0;3.0;1;4;2;1
53;287001;1;2022.0;4.5;4.0;5.0;0.0;1;2;2;1
54;286993;0;2021.0;4.7;5.0;4.0;5.0;1;4;2;1
56;286798;1;2022.0;5.0;5.0;5.0;5.0;1;2;1;1
57;286783;1;2022.0;4.3;5.0;4.0;4.0;1;4;1;1
59;286654;0;2022.0;1.0;1.0;1.0;1.0;1;2;2;1
60;286102;0;2022.0;4.7;5.0;4.0;5.0;1;1;1;1
61;285885;0;2022.0;5.0;5.0;5.0;5.0;1;2;1;1
62;285883;1;2021.0;5.0;5.0;5.0;5.0;1;4;1;1
63;285882;0;2022.0;4.7;5.0;5.0;4.0;1;1;1;1
64;285879;0;2022.0;5.0;5.0;5.0;5.0;1;1;1;1
65;284372;0;2021.0;5.0;5.0;5.0;5.0;1;1;1;1
66;284341;0;2021.0;5.0;5.0;5.0;5.0;1;3;1;1
67;284279;0;2021.0;4.7;5.0;4.0;5.0;1;2;1;1
68;283970;1;2021.0;3.7;4.0;4.0;3.0;1;2;2;1
69;283920;0;2021.0;4.7;5.0;5.0;4.0;1;4;2;1
70;283888;1;2021.0;3.7;4.0;4.0;3.0;1;4;1;1
71;283886;0;2021.0;3.7;4.0;4.0;3.0;1;4;1;1
72;283885;0;2021.0;4.3;5.0;4.0;4.0;1;4;1;1
73;283876;0;2021.0;3.7;4.0;4.0;3.0;1;1;1;1
74;283875;0;2021.0;5.0;5.0;5.0;5.0;1;1;1;1
75;283846;1;2021.0;3.7;4.0;4.0;3.0;1;4;1;1
76;283696;0;2021.0;5.0;5.0;5.0;5.0;1;4;1;1
77;283695;0;2021.0;4.3;4.0;4.0;5.0;1;4;1;1
78;283694;0;2021.0;5.0;5.0;5.0;5.0;1;4;1;1
79;283693;1;2021.0;5.0;5.0;5.0;5.0;1;1;1;1
81;282846;1;2021.0;2.3;2.0;3.0;2.0;1;2;1;1
82;282716;1;2021.0;4.7;4.0;5.0;5.0;1;1;1;1
83;282584;1;2021.0;4.3;5.0;4.0;4.0;1;4;1;1
84;282540;0;2021.0;5.0;5.0;5.0;5.0;1;4;1;1
85;282353;0;2021.0;4.7;5.0;5.0;4.0;1;4;1;1
87;281922;0;2021.0;4.7;5.0;5.0;4.0;1;2;2;1
88;281886;0;2021.0;4.0;4.0;4.0;4.0;1;4;1;1
89;281844;1;2021.0;4.7;5.0;5.0;4.0;1;1;2;1
90;281717;0;2021.0;3.0;5.0;3.0;1.0;1;4;2;1
91;281650;0;2021.0;5.0;5.0;5.0;5.0;1;4;1;1
92;281479;0;2021.0;5.0;5.0;5.0;5.0;1;1;1;1
93;281477;0;2021.0;3.7;3.0;4.0;4.0;1;1;1;1
95;281385;0;2021.0;1.0;1.0;1.0;1.0;1;2;1;1
96;281240;0;2021.0;4.0;4.0;4.0;4.0;1;4;2;1
97;281224;0;2021.0;5.0;5.0;5.0;5.0;1;4;2;1
98;281189;0;2021.0;4.0;4.0;4.0;4.0;1;4;1;1
99;280300;0;2021.0;5.0;5.0;5.0;5.0;1;4;2;1
100;280229;0;2021.0;5.0;5.0;5.0;5.0;1;2;1;1
101;279982;0;2021.0;5.0;5.0;5.0;5.0;1;2;1;1
102;279899;0;2021.0;5.0;5.0;5.0;5.0;1;2;1;1
103;279865;1;2021.0;5.0;5.0;5.0;5.0;1;2;1;1
104;279854;1;2021.0;4.7;5.0;5.0;4.0;1;4;1;1
105;278953;1;2021.0;4.7;4.0;5.0;5.0;1;1;1;1
106;278942;0;2021.0;5.0;5.0;5.0;5.0;1;4;1;1
107;278904;0;2021.0;4.3;5.0;4.0;4.0;1;1;1;1
108;278899;0;2021.0;4.7;4.0;5.0;5.0;1;1;1;1
109;278885;1;2021.0;5.0;5.0;5.0;5.0;1;1;1;1
111;278853;0;2021.0;4.7;5.0;5.0;4.0;1;4;1;1
112;278783;0;2021.0;5.0;5.0;5.0;5.0;1;4;1;1
113;278728;0;2021.0;4.7;4.0;5.0;5.0;1;4;1;1
114;278665;0;2021.0;4.3;5.0;5.0;3.0;1;4;1;1
115;278645;0;2021.0;5.0;5.0;5.0;5.0;1;4;1;1
116;278641;0;2021.0;5.0;5.0;5.0;5.0;1;4;1;1
117;276568;0;2018.0;1.0;1.0;1.0;1.0;1;4;2;1
118;276147;0;2021.0;5.0;5.0;5.0;5.0;1;1;1;1
119;275972;1;2021.0;4.0;5.0;4.0;3.0;1;1;1;1
120;275872;0;2021.0;4.0;4.0;4.0;4.0;1;1;1;1
121;275855;0;2021.0;4.3;5.0;4.0;4.0;1;1;1;1
124;275818;0;2021.0;5.0;5.0;5.0;5.0;1;4;1;1
125;275770;0;2021.0;4.3;5.0;4.0;4.0;1;4;1;1
126;275756;0;2021.0;5.0;5.0;5.0;5.0;1;4;1;1
