,courses,school,school_id
0,Cyber Security Bootcamp,ironhack,10828
1,Cybersecurity Part-Time,ironhack,10828
2,Data Analytics Bootcamp,ironhack,10828
3,Data Analytics Part-Time,ironhack,10828
4,UX/UI Design Bootcamp,ironhack,10828
5,UX/UI Design Part-Time,ironhack,10828
6,Web Development Bootcamp,ironhack,10828
7,Web Development Part-Time,ironhack,10828
0,16-Week Campus Software Engineering Program,app-academy,10525
1,Bootcamp Prep,app-academy,10525
2,24-Week Online Full-Time Software Engineering Program,app-academy,10525
3,52-Week Online Part-Time Software Engineering,app-academy,10525
4,App Academy Open,app-academy,10525
0,Cyber Security Career Track,springboard,11035
1,Data Analytics Career Track,springboard,11035
2,Data Science Career Track,springboard,11035
3,Data Science Career Track Prep,springboard,11035
4,Digital Marketing Professional Certificate,springboard,11035
5,Introduction to Data Analytics,springboard,11035
6,Introduction to Design,springboard,11035
7,Social Media Marketing Professional Certificate,springboard,11035
8,Software Engineering Career Track,springboard,11035
9,Software Engineering Career Track Prep Course,springboard,11035
10,Tech Sales Career Track,springboard,11035
11,UI/UX Design Career Track,springboard,11035
12,UX Career Track,springboard,11035
